episode,reward,moving_avg_50
600,2.0,3.49
601,2.0,3.45
602,3.0,3.41
603,3.0,3.39
604,2.0,3.31
605,2.0,3.29
606,5.0,3.27
607,4.0,3.29
608,1.0,3.23
609,5.0,3.27
610,5.0,3.31
611,2.0,3.25
612,3.0,3.23
613,3.0,3.21
614,4.0,3.25
615,1.0,3.19
616,3.0,3.13
617,3.0,3.11
618,2.0,3.09
619,4.0,3.09
620,5.0,3.11
621,2.0,3.05
622,2.0,2.97
623,2.0,2.97
624,2.0,2.95
625,4.0,2.95
626,3.0,2.97
627,2.0,2.91
628,4.0,2.87
629,1.0,2.81
630,3.0,2.87
631,0.0,2.81
632,5.0,2.87
633,3.0,2.87
634,2.0,2.83
635,2.0,2.81
636,3.0,2.79
637,-1.0,2.69
638,2.0,2.71
639,2.0,2.71
640,2.0,2.78
641,4.0,2.8
642,5.0,2.8
643,4.0,2.82
644,2.0,2.84
645,4.0,2.82
646,4.0,2.82
647,5.0,2.88
648,4.0,2.88
649,2.0,2.86
650,1.0,2.84
651,3.0,2.86
652,4.0,2.88
653,1.0,2.84
654,3.0,2.86
655,3.0,2.88
656,1.0,2.8
657,4.0,2.8
658,4.0,2.86
659,1.0,2.78
660,2.0,2.72
661,2.0,2.72
662,3.0,2.72
663,1.0,2.68
664,3.0,2.66
665,3.0,2.7
666,2.0,2.68
667,4.0,2.7
668,-1.5,2.63
669,2.0,2.59
670,6.0,2.61
671,1.0,2.59
672,3.0,2.61
673,4.0,2.65
674,5.0,2.71
675,3.0,2.69
676,2.0,2.67
677,4.0,2.71
678,2.0,2.67
679,2.0,2.69
680,2.0,2.67
681,2.0,2.71
682,4.0,2.69
683,5.0,2.73
684,4.0,2.77
685,4.0,2.81
686,3.0,2.81
687,3.0,2.89
688,2.0,2.89
689,5.0,2.95
690,2.0,2.95
691,4.0,2.95
692,3.0,2.91
693,4.0,2.91
694,2.0,2.91
695,-1.5,2.8
696,2.0,2.76
697,3.0,2.72
698,0.0,2.64
699,5.0,2.7
700,3.0,2.74
701,4.0,2.76
702,1.0,2.7
703,3.0,2.74
704,4.0,2.76
705,5.0,2.8
706,4.0,2.86
707,5.0,2.88
708,1.0,2.82
709,5.0,2.9
710,3.0,2.92
711,2.0,2.92
712,2.0,2.9
713,3.0,2.94
714,3.0,2.94
715,3.0,2.94
716,3.0,2.96
717,0.0,2.88
718,3.0,2.97
719,1.0,2.95
720,5.0,2.93
721,3.0,2.97
722,2.0,2.95
723,4.0,2.95
724,4.0,2.93
725,1.0,2.89
726,2.0,2.89
727,3.0,2.87
728,2.0,2.87
729,5.0,2.93
730,1.0,2.91
731,2.0,2.91
732,3.0,2.89
733,4.0,2.87
734,4.0,2.87
735,2.0,2.83
736,5.0,2.87
737,2.0,2.85
738,2.0,2.85
739,4.0,2.83
740,4.0,2.87
741,3.0,2.85
742,3.0,2.85
743,3.0,2.83
744,4.0,2.87
745,2.0,2.94
746,4.0,2.98
747,5.0,3.02
748,6.0,3.14
749,0.0,3.04
750,3.0,3.04
751,6.0,3.08
752,2.0,3.1
753,4.0,3.12
754,6.0,3.16
755,3.0,3.12
756,6.0,3.16
757,1.0,3.08
758,2.0,3.1
759,3.0,3.06
760,4.0,3.08
761,5.0,3.14
762,1.0,3.12
763,1.0,3.08
764,4.0,3.1
765,2.0,3.08
766,2.0,3.06
767,2.0,3.1
768,2.0,3.08
769,3.0,3.12
770,2.0,3.06
771,4.0,3.08
772,3.0,3.1
773,2.0,3.06
774,5.0,3.08
775,4.0,3.14
776,3.0,3.16
777,5.0,3.2
778,4.0,3.24
779,1.0,3.16
